pal1,pal2,pal3,pal4,pal5,hex_destacado
#070300,#DEDCE1,#71726C,#2D1306,#4D3A29,#2D1306
#FFFFFF,#33383C,#DDCDBD,#75625E,#AA9383,#75625E
#10120D,#C9BAA7,#76644C,#6E5C44,#97856D,#C9BAA7
#FFFFFF,#0F0000,#6475A0,#4A5B86,#927066,#6475A0
#282B24,#9D9AA3,#B7B4C5,#2F322B,#7F7569,#B7B4C5
#CDBEA1,#494230,#47402E,#8D7E6B,#AC9D88,#CDBEA1
#161817,#F7EEE9,#353533,#A6AAB5,#6D7896,#6D7896
#0A0C12,#D2CEE6,#B9ADCF,#61423B,#795249,#B9ADCF
#ECECEC,#101217,#25364C,#BDBEBA,#8B8A88,#25364C
#FFFFFF,#000000,#CCCBD2,#00695A,#8BA2A3,#CCCBD2
#FFFFFF,#2F2B28,#413C38,#5F5A56,#EBC8A0,#EBC8A0
#FFFFFF,#252C2F,#6B403D,#AE5047,#B08769,#B08769
#302C29,#E6E7E9,#B98049,#DDA663,#AF7A4E,#302C29
#FFFFFF,#F2DBC4,#0B0301,#9B8071,#3B342F,#9B8071
#261C18,#D58B59,#BB7E5A,#A56E4C,#463027,#A56E4C
#BE874E,#E2AA5F,#785C46,#4B383E,#B67A44,#E2AA5F
#000000,#FFFFFF,#E3DAD9,#3A413F,#A4949E,#E3DAD9
#424169,#4E5069,#706488,#E3C4C9,#B7A2C3,#706488
#FFFFFF,#212624,#384249,#555A67,#8790AB,#555A67
#00000C,#FFFFFD,#ADA39A,#9A918A,#273041,#9A918A
#FFFFFF,#050004,#5C5A54,#FF977C,#31303B,#FF977C
#4C535B,#919CB8,#6A7686,#17201B,#ACB0CB,#ACB0CB
#3E2A1F,#8A7A6B,#D6A852,#C56B39,#FFC593,#C56B39
#FEFEFE,#AD3223,#1A1712,#F8E823,#544759,#F8E823
#FFFFFF,#15120D,#947D51,#AFA172,#A43929,#A43929
#FFFFFF,#AE5E15,#C56E27,#080000,#BFA58E,#C56E27
#FFFFFF,#3E5082,#B52814,#2DA2CE,#272727,#2DA2CE
#FEFEFE,#FFFD5A,#A02611,#1C1C1C,#A1A1A1,#FFFD5A
